grade,subject,strand,subStrand,learningOutcome,specificLearningOutcome,keyInquiryQuestion,suggestedLearningExperience,lessonTitle,lessonOrder,term,week,activityTitle,activityInstructions,assessmentMethod,assessmentCriteria,questTitle,questInstructions,reflectionPrompt,learningResources,coreCompetencies
"Grade 2","English Language Activities","4.0 Writing","4.1 Word and Sentence Formation","Identify and write upper and lower case letters in words and sentences correctly","Identify and write upper and lower case letters in words and sentences correctly","Why does word order matter in a sentence?","Learners re-organize jumbled words to form logical sentences. Learners practise punctuation and capitalisation in sentences.","Rearranging Words into Sentences","37","Term 1","","Rearranging Words into Sentences","Learners re-organize jumbled words to form logical sentences. Learners practise punctuation and capitalisation in sentences.","Write a short paragraph on a given thematic topic","Learner demonstrates understanding of identify and write upper and lower case letters in words and sentences correctly","English Language Activities Grade 2","In this quest, we explore 4.1 word and sentence formation.","What did I learn about identify and write upper and lower case letters in words and sentences correctly today?","Tape recorder, flash cards, sentence strips, books, pencils","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.1 Word and Sentence Formation","Develop an interest in writing for pleasure","Develop an interest in writing for pleasure","Why is writing fun?","Learners written work is displayed to indicate writing progress. Learners are guided to use writing and other forms of representing for a variety of functions.","Writing for Pleasure","38","Term 1","","Writing for Pleasure","Learners written work is displayed to indicate writing progress. Learners use writing to ask questions, express feelings, and share opinions.","Write a short paragraph on a given thematic topic","Learner demonstrates understanding of develop an interest in writing for pleasure","English Language Activities Grade 2","In this quest, we explore 4.1 word and sentence formation.","What did I learn about develop an interest in writing for pleasure today?","Tape recorder, flash cards, sentence strips, books, pencils","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.2 Spelling Instruction","Write an increasing number of words and spell them correctly; spell words with short and long vowel sounds","Write an increasing number of words and spell them correctly; spell words with short and long vowel sounds","Why is it important to spell words correctly?","Learners write newly learned words on a word tree. Learners are guided on the use of spelling strategies including knowledge of letter-sound correspondences and common letter patterns.","Spelling New Words","39","Term 1","","Spelling New Words","Learners write newly learned words on a word tree. Learners are guided on the use of spelling strategies including knowledge of letter-sound correspondences.","learners participate in spelling challenge, dictation","Learner demonstrates understanding of write an increasing number of words and spell them correctly; spell words with short and long vowel sounds","English Language Activities Grade 2","In this quest, we explore 4.2 spelling instruction.","What did I learn about write an increasing number of words and spell them correctly; spell words with short and long vowel sounds today?","Flash cards, word trees, writing materials, stencil","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.2 Spelling Instruction","Use phonic knowledge to spell and write familiar and unfamiliar words; use editing strategies to correct spelling","Use phonic knowledge to spell and write familiar and unfamiliar words; use editing strategies to correct spelling","How can sounds help us spell words?","Learners practise spelling sight words. Learners identify spelling errors in own writing or unknown texts and provide correct spelling.","Using Phonics to Spell","40","Term 1","","Using Phonics to Spell","Learners practise spelling sight words. Learners identify spelling errors in own writing or unknown texts and provide correct spelling.","learners participate in spelling challenge, dictation","Learner demonstrates understanding of use phonic knowledge to spell and write familiar and unfamiliar words; use editing strategies to correct spelling","English Language Activities Grade 2","In this quest, we explore 4.2 spelling instruction.","What did I learn about use phonic knowledge to spell and write familiar and unfamiliar words; use editing strategies to correct spelling today?","Flash cards, word trees, writing materials, stencil","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.2 Spelling Instruction","Use simple editing strategies to correct spelling in simple sentences; appreciate the importance of correct spelling","Use simple editing strategies to correct spelling in simple sentences; appreciate the importance of correct spelling","How can we fix spelling mistakes?","Learners identify spelling errors in own writing or unknown texts and provide correct spelling (spacing, punctuation, and spelling). Learners participate in spelling challenge contests.","Editing and Correcting Spelling","41","Term 1","","Editing and Correcting Spelling","Learners identify spelling errors in own writing or unknown texts and provide correct spelling. Learners participate in spelling challenge contests.","learners participate in spelling challenge, dictation","Learner demonstrates understanding of use simple editing strategies to correct spelling in simple sentences; appreciate the importance of correct spelling","English Language Activities Grade 2","In this quest, we explore 4.2 spelling instruction.","What did I learn about use simple editing strategies to correct spelling in simple sentences; appreciate the importance of correct spelling today?","Flash cards, word trees, writing materials, stencil","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.3 Handwriting","Use conventional spacing between words; use basic punctuation appropriately","Use conventional spacing between words; use basic punctuation appropriately","Why should I write well?","Learners use a variety of handwriting activities to practice letter patterns, word patterns, and sentence patterns. Learners practise capital and small letters, commas and full stop.","Spacing and Punctuation","42","Term 1","","Spacing and Punctuation","Learners use a variety of handwriting activities to practice letter patterns, word patterns, and sentence patterns.","Teacher provides written text modelling good handwriting for learners to copy","Learner demonstrates understanding of use conventional spacing between words; use basic punctuation appropriately","English Language Activities Grade 2","In this quest, we explore 4.3 handwriting.","What did I learn about use conventional spacing between words; use basic punctuation appropriately today?","Books, pencils, crayons, word puzzles, story books","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.3 Handwriting","Join letters to form meaningful words; use capitalization appropriately; appreciate clear and legible handwriting","Join letters to form meaningful words; use capitalization appropriately; appreciate clear and legible handwriting","Why is neat handwriting important?","Learners observe and practise handwriting as displayed. Learners write dictated sentences, paying attention to the spacing, punctuation and legibility.","Clear and Neat Writing","43","Term 1","","Clear and Neat Writing","Learners observe and practise handwriting as displayed. Learners write dictated sentences, paying attention to the spacing, punctuation and legibility.","Teacher provides written text modelling good handwriting for learners to copy","Learner demonstrates understanding of join letters to form meaningful words; use capitalization appropriately; appreciate clear and legible handwriting","English Language Activities Grade 2","In this quest, we explore 4.3 handwriting.","What did I learn about join letters to form meaningful words; use capitalization appropriately; appreciate clear and legible handwriting today?","Books, pencils, crayons, word puzzles, story books","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.3 Handwriting","Develop an interest in writing for pleasure; exhibit artistic expression through writing","Develop an interest in writing for pleasure; exhibit artistic expression through writing","How can we make our writing beautiful?","Learners participate in writing contests in class and at school. Learners engage in a variety of handwriting activities to improve their writing.","Handwriting Practice and Contests","44","Term 1","","Handwriting Practice and Contests","Learners participate in writing contests in class and at school. Learners engage in a variety of handwriting activities to improve their writing.","Teacher provides written text modelling good handwriting for learners to copy","Learner demonstrates understanding of develop an interest in writing for pleasure; exhibit artistic expression through writing","English Language Activities Grade 2","In this quest, we explore 4.3 handwriting.","What did I learn about develop an interest in writing for pleasure; exhibit artistic expression through writing today?","Books, pencils, crayons, word puzzles, story books","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.4 Creative Writing","Apply knowledge of creative writing process to write own texts","Apply knowledge of creative writing process to write own texts","How do we organize ideas to make a story interesting?","Learners are guided on the writing process through picture stories in scrapbooks/journals (planning, drafting, editing, proofreading, publishing).","Writing Our Own Stories","45","Term 1","","Writing Our Own Stories","Learners are guided on the writing process through picture stories in scrapbooks/journals (planning, drafting, editing, proofreading, publishing).","Learners write a story based on a given picture story","Learner demonstrates understanding of apply knowledge of creative writing process to write own texts","English Language Activities Grade 2","In this quest, we explore 4.4 creative writing.","What did I learn about apply knowledge of creative writing process to write own texts today?","Newspaper cutting, story maps, print materials, books, glue, scissors","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.4 Creative Writing","Write clearly with variety in sentence structure; use appropriate connecting words to sequence sentences","Write clearly with variety in sentence structure; use appropriate connecting words to sequence sentences","How do we connect ideas in a story?","Learners practise sequencing sentences to form creative texts in pairs and groups. Learners give feedback on their classmate's writing.","Sequencing and Connecting Ideas","46","Term 1","","Sequencing and Connecting Ideas","Learners practise sequencing sentences to form creative texts in pairs and groups. Learners give feedback on their classmate's writing.","Learners write a story based on a given picture story","Learner demonstrates understanding of write clearly with variety in sentence structure; use appropriate connecting words to sequence sentences","English Language Activities Grade 2","In this quest, we explore 4.4 creative writing.","What did I learn about write clearly with variety in sentence structure; use appropriate connecting words to sequence sentences today?","Newspaper cutting, story maps, print materials, books, glue, scissors","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.4 Creative Writing","Exhibit artistic expression through writing","Exhibit artistic expression through writing","How can we make our stories creative?","Learners are provided with pictures as a trigger to creative writing. Learners imagination is stimulated through games such as story train and picture spark.","Creative Story Writing","47","Term 1","","Creative Story Writing","Learners are provided with pictures as a trigger to creative writing. Learners imagination is stimulated through games such as story train and picture spark.","Learners write a story based on a given picture story","Learner demonstrates understanding of exhibit artistic expression through writing","English Language Activities Grade 2","In this quest, we explore 4.4 creative writing.","What did I learn about exhibit artistic expression through writing today?","Newspaper cutting, story maps, print materials, books, glue, scissors","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.4 Creative Writing","Choose to write independently during free choice activities","Choose to write independently during free choice activities","Why should we write for fun?","Learners choose to write independently during free choice activities such as story train and picture spark. Learners share writing with peers.","Independent Creative Writing","48","Term 1","","Independent Creative Writing","Learners choose to write independently during free choice activities. Learners share writing with peers and participate in creative writing competitions.","Learners write a story based on a given picture story","Learner demonstrates understanding of choose to write independently during free choice activities","English Language Activities Grade 2","In this quest, we explore 4.4 creative writing.","What did I learn about choose to write independently during free choice activities today?","Newspaper cutting, story maps, print materials, books, glue, scissors","Communication and Collaboration, Critical Thinking and Problem Solving"
